,distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,gas_enc,snow
319,216.1,5.3,90,22.0,21,SP98,0,0,1,0,0
320,25.5,3.6,27,22.0,27,SP98,0,0,1,0,0
321,16.6,4.2,52,22.0,15,SP98,0,1,0,0,0
322,25.9,4.1,43,22.0,24,SP98,0,0,0,0,0
323,16.5,4.0,48,22.0,15,SP98,0,0,0,0,0
324,22.1,3.9,29,22.0,26,SP98,0,0,0,0,0
325,16.6,3.7,49,22.0,17,E10,0,0,0,1,0
326,15.4,4.5,43,22.0,24,E10,0,0,0,1,0
327,16.5,3.9,43,22.0,17,E10,0,0,0,1,0
328,15.4,5.1,21,22.0,24,E10,0,0,0,1,0
329,18.4,4.2,59,22.0,24,E10,0,0,0,1,0
330,39.5,4.2,58,22.0,25,E10,0,0,0,1,0
331,21.5,4.8,47,25.0,27,E10,1,0,1,1,0
332,4.8,4.7,26,25.0,18,E10,0,0,0,1,0
333,100.9,4.7,87,23.5,22,E10,0,0,0,1,0
334,129.7,4.6,58,24.0,21,E10,0,0,0,1,0
335,16.6,3.8,43,21.5,16,E10,0,0,0,1,0
336,15.4,4.2,50,21.5,21,E10,0,0,0,1,0
337,16.0,3.7,45,22.0,17,E10,0,0,0,1,0
338,16.0,4.2,41,22.0,15,E10,0,0,0,1,0
339,15.4,4.1,45,22.0,24,E10,0,0,0,1,0
340,16.0,4.0,43,22.0,16,E10,0,0,0,1,0
341,21.0,3.8,37,22.0,21,E10,0,0,0,1,0
342,15.4,3.8,47,22.0,24,E10,0,0,0,1,0
343,16.0,3.8,42,22.0,17,E10,0,0,0,1,0
344,16.1,5.1,30,25.0,16,E10,1,1,0,1,0
345,16.0,4.0,42,22.0,15,E10,0,0,0,1,0
346,15.4,4.8,40,22.0,18,E10,0,0,0,1,0
347,17.2,3.9,35,22.0,16,E10,0,0,0,1,0
348,16.6,4.6,50,22.0,25,E10,0,0,0,1,0
349,18.3,4.3,46,22.0,16,SP98,0,0,0,0,0
350,16.1,4.8,36,22.0,18,SP98,0,1,0,0,0
351,16.0,4.1,46,22.0,17,SP98,0,0,0,0,0
352,16.3,4.0,35,22.0,23,SP98,0,0,0,0,0
353,16.0,3.7,44,22.0,16,SP98,0,0,0,0,0
354,18.3,4.3,46,22.0,23,SP98,0,0,0,0,0
355,4.5,5.2,23,22.0,23,SP98,0,0,1,0,0
356,17.0,4.2,48,22.0,16,SP98,0,0,0,0,0
357,6.1,5.0,35,24.5,18,SP98,0,0,0,0,0
358,6.1,5.0,33,22.0,24,SP98,0,0,1,0,0
359,17.3,4.2,36,22.0,22,SP98,0,0,0,0,0
360,6.0,4.8,27,22.0,17,SP98,0,0,0,0,0
361,16.0,4.1,45,22.0,15,SP98,0,0,0,0,0
362,15.4,4.9,55,22.0,18,SP98,0,0,0,0,0
363,15.4,4.3,39,22.0,23,SP98,0,0,0,0,0
364,16.0,3.9,35,22.0,18,SP98,0,0,0,0,0
365,15.4,4.5,52,22.0,26,SP98,0,0,0,0,0
366,16.6,4.1,48,25.5,30,SP98,1,0,1,0,0
367,15.4,5.0,48,25.5,31,SP98,1,0,0,0,0
368,16.0,4.0,43,22.0,21,SP98,1,0,0,0,0
369,15.4,4.5,42,22.0,30,SP98,0,0,0,0,0
370,16.0,3.6,43,22.0,19,SP98,0,0,0,0,0
371,20.9,4.1,33,22.0,21,SP98,0,0,0,0,0
372,32.1,3.9,47,22.0,26,SP98,0,0,0,0,0
373,15.3,6.6,16,24.0,27,SP98,1,0,0,0,0
374,28.5,4.0,44,25.0,23,SP98,1,0,0,0,0
375,11.9,3.7,33,25.0,19,SP98,0,0,0,0,0
376,14.5,4.3,36,25.0,22,SP98,0,0,0,0,0
377,16.6,4.1,49,22.0,26,SP98,0,0,1,0,0
378,16.2,4.4,39,24.5,17,SP98,1,0,0,0,0
379,16.7,3.8,44,24.5,23,SP98,0,0,1,0,0
380,8.3,5.0,52,24.5,27,SP98,0,0,0,0,0
381,5.5,3.7,33,24.5,28,SP98,0,0,1,0,0
382,13.6,3.7,33,24.5,28,SP98,0,0,1,0,0
383,16.0,3.7,39,24.5,18,SP98,0,0,0,0,0
384,16.1,4.3,38,25.0,31,SP98,1,0,0,0,0
385,16.0,3.8,45,25.0,19,SP98,0,0,0,0,0
386,15.4,4.6,42,25.0,31,SP98,1,0,0,0,0
387,14.7,5.0,25,25.0,30,SP98,1,0,0,0,0
388,28.0,5.0,26,21.5,12,E10,0,0,0,1,0
389,12.0,4.2,30,21.5,13,E10,0,0,0,1,0
390,11.2,5.5,38,21.5,15,E10,0,0,0,1,0
391,12.9,3.9,36,21.5,14,E10,0,0,0,1,0
392,18.5,4.5,46,21.5,15,E10,0,0,0,1,0
393,8.3,6.4,50,21.5,10,E10,0,0,0,1,0
394,7.8,4.4,43,21.5,11,E10,0,0,0,1,0
395,12.3,5.0,40,21.5,6,E10,0,0,0,1,0
396,4.9,6.4,26,21.5,4,E10,0,0,0,1,0
397,11.9,5.3,30,21.5,9,E10,0,0,0,1,0
398,12.4,5.6,42,21.5,4,E10,0,0,0,1,0
399,11.8,4.6,38,21.5,0,E10,0,0,0,1,0
400,12.3,5.9,59,21.5,10,E10,0,0,0,1,0
401,24.7,5.1,58,21.5,12,E10,0,0,0,1,0
402,12.4,4.7,46,21.5,11,E10,0,0,0,1,0
403,17.3,5.1,24,21.5,5,E10,0,0,0,1,0
404,33.4,5.6,36,21.5,3,E10,0,0,0,1,0
405,11.8,5.1,32,21.5,3,E10,0,0,0,1,0
406,25.9,4.9,39,21.5,8,E10,0,0,0,1,0
407,11.8,4.7,40,21.5,4,E10,0,0,0,1,0
408,25.3,5.5,32,21.5,3,E10,0,0,0,1,0
409,14.2,5.9,38,21.5,1,E10,0,0,0,1,0
410,17.9,5.7,37,21.5,1,E10,0,0,0,1,0
411,11.8,4.7,36,21.5,1,E10,0,0,0,1,0
412,12.3,5.9,62,21.5,6,E10,0,0,0,1,0
